Generation,Average,Best,Samples
188,1931.22666667,5030.33333333,3
189,1914.97666667,6360.0,3
190,2025.25,6027.0,3
191,1622.35666667,5025.66666667,3
192,1963.96,5692.33333333,3
193,1788.94333333,5697.33333333,3
194,1626.25333333,6028.0,3
195,1527.28333333,5361.66666667,3
196,2243.07666667,5697.33333333,3
197,1937.70333333,5700.0,3
198,2149.70333333,6026.66666667,3
199,1825.29,6362.66666667,3
200,2161.87666667,6028.66666667,3
201,1690.32333333,4699.0,3
202,1587.52666667,5360.0,3
203,1596.61666667,5361.33333333,3
204,1343.09333333,6031.33333333,3
205,1484.24,5364.33333333,3
206,1759.28,5366.0,3
207,2105.36333333,6364.0,3
208,2201.26333333,7358.33333333,3
209,1435.71,6027.66666667,3
210,1909.12333333,6694.33333333,3
211,1848.33333333,5699.66666667,3
212,1712.91,5362.0,3
213,1074.54,4359.33333333,3
214,1266.09333333,4697.66666667,3
215,2174.20333333,5698.66666667,3
216,2158.25,6699.0,3
217,2192.76333333,6371.33333333,3
218,2223.40666667,6362.66666667,3
219,2094.34666667,5698.66666667,3
220,1417.70333333,4700.0,3
221,1702.39,5362.66666667,3
222,1961.23,5702.0,3
223,1767.73666667,5364.0,3
224,1509.84666667,5695.66666667,3
225,1670.86666667,5361.66666667,3
226,1730.53666667,5031.0,3
227,2698.1,8032.0,3
228,2225.37333333,5696.0,3
229,1885.28333333,5362.66666667,3
230,2093.48666667,6029.66666667,3
231,1968.53,5695.33333333,3
232,1977.11666667,5698.66666667,3
233,1901.93,5371.33333333,3
234,2014.26666667,6361.66666667,3
235,2013.54,6027.66666667,3
236,1982.97666667,5697.66666667,3
237,1448.24666667,4695.0,3
238,1813.33,5695.0,3
239,1993.47,5367.33333333,3
240,2184.45333333,6031.0,3
241,2442.10333333,7029.33333333,3
242,1872.49333333,6705.0,3
243,2254.02333333,6692.33333333,3
244,1783.19666667,4702.33333333,3
245,2204.83,6032.33333333,3
246,2131.77,6033.0,3
247,2311.64,5696.0,3
248,1837.91,6695.66666667,3
249,1666.55,6026.66666667,3
250,2095.55,5697.66666667,3
251,2045.31666667,5691.33333333,3
252,1915.63666667,5369.33333333,3
253,2027.35,5366.0,3
254,1889.11666667,6694.0,3
255,1596.77666667,5695.66666667,3
256,2179.51333333,5693.0,3
257,2033.21666667,4699.33333333,3
258,2050.83666667,5363.33333333,3
259,1675.52,5029.33333333,3
