Generation,Champion,Average,Updates,Samples,Baseline-Avg,Baseline-Best
177,1266.666667,730.3,30,,2624.9,3780
178,1213.333333,670.2333333,30,,2626.833333,3823.333333
179,1173.333333,685.7,30,,2643.166667,3800
180,1086.666667,595.1,30,,2636.5,3826.666667
181,1103.333333,665.2333333,30,,2656.833333,3810
182,1163.333333,656.5666667,30,,2584.833333,3766.666667
183,1150,623.2,30,,2640.666667,3796.666667
184,1176.666667,650.8666667,30,,2562.2,3703.333333
185,996.6666667,564.6,30,,2605.2,3686.666667
186,1143.333333,666.7333333,30,,2618.2,3776.666667
187,986.6666667,598.6,30,,2656.933333,3773.333333
188,1020,574.1666667,30,,2627.666667,3806.666667
189,1123.333333,653.6,30,,2616.6,3820
190,1173.333333,631.9333333,30,,2638.6,3783.333333
191,1033.333333,603,30,,2637.2,3736.666667
192,1113.333333,636.4666667,30,,2684.133333,3810
193,1146.666667,688.0333333,30,,2616.466667,3790
194,1050,612.1,30,,2616,3740
195,1196.666667,654.9333333,30,,2600.366667,3690
196,1090,606.4333333,30,,2634.133333,3796.666667
197,976.6666667,593.1,30,,2626.133333,3743.333333
198,1110,637.5333333,30,,2657.9,3830
199,976.6666667,593.1,,,2626.133333,3820
200,1110,637.5333333,,,2646.7,3836.666667
