generation,averageFitness,topFitness
278,1838,2550
279,1866,2550
280,1731.5,2400
281,1907.5,2600
282,1654,2300
283,1771,2550
284,1906,2650
285,1757,2550
286,1753,2350
287,1576,2200
288,1434.5,2000
289,1756,2450
290,1779,2400
291,1829,2600
292,1611,2300
293,1718.5,2350
294,1899,2650
295,1832,2750
296,1842.5,2550
297,1833.5,2500
298,1564,2300
299,1682,2600
300,1972,2600
301,1818.5,2450
302,1613,2350
303,1876.5,2500
304,1915.5,2650
305,1744.5,2400
306,1727.5,2700
307,1826.5,2450
308,1793.5,2450
309,1674,2400
310,1597.5,2300
311,1786,2500
312,1808.5,2550
313,1676,2400
314,1545,2400
315,1479,2100
316,1751.5,2450
317,1723.5,2400
318,1854,2600
319,1390.5,1950
320,1702,2350
321,1701,2500
322,1798.5,2600
323,1756,2450
324,1749.5,2450
325,1648,2450
326,1901.5,2600
327,1843,2450
328,1489.5,2300
329,1439,2250
330,1766.5,2450
331,1770,2600
332,1659.5,2350
333,1660.5,2300
334,1703.5,2450
335,1644,2500
336,1713.5,2500
337,1807.5,2600
338,1720,2350
339,1742,2400
340,1586,2300
341,1897,2550
342,1750,2450
343,1683.5,2450
344,1684.5,2550
345,1903.5,2600
346,1719.5,2300
347,1592.5,2350
348,1615.5,2300
349,1535,2250
350,1646,2350
351,1665.5,2400
352,1626.5,2200
353,1786.5,2500
354,1591.5,2350
355,1705,2350
356,1586,2400
357,1624.5,2550
358,1798,2550
359,1697.5,2500
360,1925.5,2650
361,1801,2600
362,1519,2350
363,1742.5,2400
364,1443.5,2300
365,1393,2200
366,1452.5,2200
367,1638.5,2550
368,1642.5,2550
369,1603.5,2400
370,1781.5,2600
371,1635,2400
372,1615.5,2550
373,1892.5,2600
374,1525,2450
375,1728,2400
376,1859,2650
377,1673,2350
378,1708.5,2400
379,1818.5,2600
380,1532.5,2400
381,1771,2450
382,1833,2650
383,1647.5,2550
384,1708,2500
385,1673.5,2350
386,1685.5,2550
387,1569,2300
388,1874.5,2650
389,1789,2750
390,1538,2300
391,1667,2500
392,1636,2350
393,1607,2300
394,1827,2650
395,1850.5,2550
396,1590.5,2350
397,1935,2500
398,1691,2400
399,1692.5,2450
400,1807.5,2600
401,1902.5,2650
402,1679,2400
403,1308,2150
404,1640.5,2400
405,1697.5,2550
406,1585,2550
407,1735,2550
408,1650.5,2600
409,1762.5,2450
410,1778.5,2750
411,1887.5,2850
412,1796.5,2650
413,1829,2750
414,1817.5,2600
415,1748,2550
416,1845.5,2600
417,1718.5,2400
418,1787,2500
419,1531,2250
420,1912,2500
421,1737.5,2550
422,1793.5,2400
423,1761.5,2400
424,1826,2450
425,1749,2350
426,1558,2350
427,1843,2550
428,1743.5,2500
429,1754.5,2450
430,1638.5,2350
431,1789.5,2450
432,1739,2600
433,1550.5,2550
434,1843.5,2550
435,1758.5,2450
436,1927,2600
437,1622,2250
438,1659,2450
439,1938.5,2800
440,1762.5,2350
441,1640,2300
442,1606,2550
443,1752.5,2400
444,1954.5,2600
445,1780,2600
446,1750,2500
447,1834,2400
448,1871.5,2550
449,2008.5,2650
450,1793.5,2450
451,1621.5,2400
452,1831,2550
453,1484.5,2250
454,1464.5,2100
455,1764.5,2400
456,1677,2450
457,1770.5,2400
458,1782,2550
459,1631,2300
460,856,1750
461,1754,2250
462,2009.5,2750
463,1893.5,2700
464,1695.5,2500
465,1711,2400
466,1609,2400
467,1734,2400
468,1404.5,2350
469,1572.5,2200
470,1779,2500
471,1571,2350
472,1851.5,2500
473,1873.5,2550
474,1636.5,2450
475,1761,2600
476,1826,2750
477,1981,2650
478,1513.5,2250
479,1135,2000
480,1728.5,2450
481,1594,2300
482,2063.5,2850
483,1831.5,2550
484,1735,2550
485,2065.5,2750
486,1998.5,2700
487,1915.5,2600
488,1815,2650
489,1648.5,2650
490,1703.5,2400
491,1653.5,2500
492,1742.5,2450
493,1737.5,2400
494,1882.5,2600
495,1953,2750
496,1932.5,2700
497,1723.5,2600
498,1756,2400
499,1705,2350
500,1900.5,2650
