Generation,Baseline-Avg,Baseline-Best,Updates,Samples,DynamicSocial-Avg,DynamicSocial-Best
166,10183.618,17420.9,0,10,11645.657,18417.9
167,10673.682,18517.7,0,10,11621.674,18518.8
168,10128.086,17919,0,10,11511.257,18118.3
169,10797.108,18720.4,0,10,10306.999,17222
170,10631.784,18019.4,0,10,10983.667,17819.5
171,10357.546,17419.5,0,10,11334.448,17921.3
172,10440.872,18320.9,0,10,11659.711,18518.3
173,10848.336,18919.6,0,10,11173.066,18218.5
174,10622.096,17921.4,0,10,10802.108,17820.6
175,10576.901,17621.3,0,10,9961.839,18317.5
176,10705.536,18717.4,0,10,10008.039,17819
177,10836.688,18720.1,0,10,11490.409,19217.6
178,10595.594,18023.4,0,10,11622.233,19516.8
179,10106.773,18221.8,0,10,10785.382,19818.1
180,10225.654,17917.9,0,10,11089.708,18714.9
181,10751.874,18721.6,0,10,10821.953,18817
182,9984.792,18619.1,0,10,11088.221,18917.5
183,9884.516,17620.2,0,10,11595.557,19519
184,10103.944,17522.4,0,10,11040.632,18518.4
185,9814.581,18221.7,0,10,11127.041,19619.3
186,10244.395,18018.1,0,10,10648.19,18317.4
187,10577.061,18421.2,0,10,10637.572,17920.4
188,10927.734,18118,0,10,11789.273,19916.7
189,10437.113,17720.5,0,10,11227.124,19119.5
190,10635.033,17919.2,0,10,10813.188,18218.5
191,10386.957,18917.5,0,10,10923.005,18519
192,10547.393,18117.7,0,10,11223.766,18416.5
193,10730.096,18520.1,0,10,9760.296,16917.4
194,10591.186,17419.7,0,10,9900.668,18216.5
195,11046.664,18719.4,0,10,9526.376,17016.1
196,10519.533,17516.6,0,10,10256.358,17715.2
197,10726.754,19221.6,0,10,9974.688,17417
198,10608.305,18316.9,0,10,10594.826,17916.2
199,10850.791,17521.4,0,10,11736.124,19717.2
200,10483.946,18617.7,0,10,11475.812,19418.2
201,11098.799,18718.2,0,10,12123.513,20017.9
202,10237.379,18520.2,0,10,11934.853,19817.5
203,10324.877,18318.4,0,10,11801.494,19618.3
204,11134.645,18622.7,0,10,12093.448,19619.7
205,11281.205,18720.6,0,10,11427.785,19118
206,10377.859,18719,0,10,12851.961,20117.6
207,10894.547,19018.5,0,10,11897.467,20917.3
208,10367.668,17816.7,0,10,11758.185,19219.8
209,10351.724,18416.7,0,10,11489.585,19317.1
210,11062.607,19619.4,0,10,11634.779,19618.4
211,11068.812,19217.6,0,10,12739.861,19720.5
212,9729.646,17118.9,0,10,12741.807,20518.8
213,10918.137,18420.4,0,10,12327.227,19517
214,10895.513,18719.6,0,10,12431.482,20116.1
215,10538.261,18018.9,0,10,11325.744,19616.8
216,10521.658,18517.8,0,10,13096.849,20415.7
217,11321.559,19018.5,0,10,13222.683,20817.6
218,10817.803,18217.3,0,10,11800.11,18916
219,10694.606,17916.9,0,10,12027.449,20215
220,10784.873,17918.8,0,10,11208.72,19014.5
221,10621.762,18618.3,0,10,12186.9,19916.4
222,11398.51,18917.5,0,10,11257.156,18017.4
223,10806.356,19118.3,0,10,12095.018,19317.4
224,11273.129,19218.9,0,10,10853.868,19917.3
225,11077.536,19118.3,0,10,11471.851,19817.5
226,10969.87,18817.7,0,10,11486.884,19513.8
227,10562.086,18118.4,0,10,12029.287,19914.4
228,11208.253,19319.9,0,10,11876.863,18517.6
229,11149.212,19116.7,0,10,12217.813,20116.8
230,11148.042,18519.5,0,10,12073.629,19417.7
231,11125.004,19315.1,0,10,11947.359,20617.8
232,11595.628,19118.4,0,10,12611.103,20814.2
233,11166.595,19318.5,0,10,12249.105,20416.6
234,11933.964,19717.6,0,10,12203.538,20716.8
235,11578.487,19317.6,0,10,12205.293,20314.1
236,11221.924,18018.8,0,10,11525.551,20014.9
237,11633.392,19016.6,0,10,11835.953,20214.6
238,11736.37,19417,0,10,11400.438,18916
239,11294.855,18917.3,0,10,10883.261,18915.7
240,11796.634,20017.8,0,10,9740.914,17417.4
241,11680.468,19519.9,0,10,10298.196,18815
242,11843.877,19314,0,10,11469.229,20213.3
243,11898.892,19419,0,10,11566.195,20814.2
244,11526.733,20519.6,0,10,11955.779,20215.7
245,11019.902,18116.8,0,10,10730.37,19615.7
246,11807.077,20616.7,0,10,11190.281,20614.6
247,11503.412,20217.8,0,10,10953.026,19715.8
248,11590.402,19216.5,0,10,12208.918,20815.9
249,11320.016,18917.1,0,10,11349.383,19718
250,11928.8,20218,0,10,12469.409,20113.9
251,11832.259,20519.5,0,10,11816.693,19817.8
252,11980.961,19918.6,0,10,11856.553,19915.3
253,12085.828,20016.1,0,10,11609.433,20114.6
254,11927.236,19817.7,0,10,12326.799,20719.1
255,12106.574,20219.3,0,10,11960.221,21215.7
256,11697.824,19218.8,0,10,11173.758,18416.7
257,12140.074,19715.2,0,10,11806.778,20114.7
258,12112.254,20419.6,0,10,12125.239,20615.9
259,11802.827,21214.4,0,10,12454.942,21116.4
260,11730.341,20316.5,0,10,11560.903,19915.8
261,12079.623,19516.9,0,10,11395.179,19315.1
262,11998.009,20016.4,0,10,11102.029,19114.6
263,12084.379,19916.1,0,10,10839.499,19115.5
264,12414.354,19917.1,0,10,11552.02,20412.7
265,11787.105,20217.6,0,10,12413.361,20612.5
266,11490.535,19816.4,0,10,10071.357,18616.3
267,11852.023,19716.8,0,10,12225.837,21014.8
268,11785.947,19817.8,0,10,12101.97,20713.6
269,11949.609,19218.4,0,10,12650.435,20813.8
270,11621.952,20018.1,0,10,10627.986,19215.9
271,12096.333,20017.7,0,10,10326.919,18812
272,11510.719,19617.2,0,10,11094.398,18815.7
273,12013.021,19718.3,0,10,11346.01,19116.1
274,11341.594,20217.8,0,10,12171.833,19913.2
275,12128.75,20117,0,10,11864.653,18913.9
276,11899.06,19918.5,0,10,11811.495,19213.9
277,12344.283,21717.2,0,10,11860.432,18913.7
278,12042.404,19518.1,0,10,12296.659,20214.5
279,12020.11,19817.9,0,10,12107.454,19616
280,11585.95,19617.5,0,10,12615.023,20614.1
281,12448.94,20516.3,0,10,12257.656,18815.3
282,11691.678,19718.2,0,10,12701.276,20714.5
283,12222.659,21117.4,0,10,12480.753,20015.1
284,12196.46,19917.3,0,10,13374.26,21713
285,12786.767,20116.5,0,10,12914.514,20216.2
286,12331.116,20016.9,0,10,12967.559,20917.1
287,11959.171,19914.8,0,10,12386.286,19914.4
288,12271.889,20116.9,0,10,11927.654,19115
289,12042.259,19416.8,0,10,12441.655,20316
290,11712.588,19816.2,0,10,12526.98,20314.3
291,12328.361,21318.2,0,10,13672.42,20715.8
292,11677.146,19519.5,0,10,12516.899,19917.6
293,12168.519,20918.1,0,10,12495.426,19817.2
294,12404.075,20417.1,0,10,12692.194,20014.8
295,12527.134,20315.9,0,10,12224.443,20613.5
296,12048.508,20415.2,0,10,12315.461,19813.5
297,12546.384,20918,0,10,12301.069,19316.9
298,11930.758,20815.2,0,10,12462.076,20015.4
299,12642.356,21017,0,10,13188.913,19017.1
300,12506.35,21717.4,0,10,12677.118,21314.5
301,12428.946,20218.2,0,10,12063.455,19116.6
302,12303.592,20417.3,0,10,12477.232,20712.5
303,12702.788,19715.5,0,10,12982.788,20313.2
304,12126.49,19816.3,0,10,12918.813,21215.7
305,11921.438,19818.3,0,10,13010.326,20315.4
306,12923.623,21117.6,0,10,12964.009,21815.7
307,12104.682,19716.2,0,10,12798.56,20716.6
308,12494.547,20319.1,0,10,13435.371,22013.6
309,12676.679,20518.2,0,10,11930.341,19713.9
310,12667.146,20616.6,0,10,12402.171,20214.4
311,12174.296,20319.1,0,10,13049.766,21018.7
312,12689.083,20618.2,0,10,11080.247,19014.2
313,12755.857,20015.8,0,10,10886.972,19814.9
314,12814.651,21618.1,0,10,11285.609,18816.3
315,12328.476,20517.8,0,10,12594.237,19815.2
316,12501.568,21518.5,0,10,11974.931,19815.3
317,12510.593,20519,0,10,12983.893,20415.5
318,12496.007,19816.5,0,10,12680.774,20315.3
319,11597.349,20318.2,0,10,12127.401,20314.7
320,11916.951,19517.2,0,10,11504.964,19514.7
321,12942.883,21220.4,0,10,12411.184,18914.2
322,13207.724,21317.1,0,10,12595.51,20114.7
