Generation,Average,Best,Samples
98,1566.98333333,2323.33333333,30
99,1577.56666667,2316.66666667,30
100,1605.46666667,2343.33333333,30
101,1586.16666667,2343.33333333,30
102,1607.26666667,2313.33333333,30
103,1569.56666667,2291.66666667,30
104,1605.38333333,2321.66666667,30
105,1569.23333333,2276.66666667,30
106,1611.7,2318.33333333,30
107,1603.83333333,2318.33333333,30
108,1635.45,2338.33333333,30
109,1621.46666667,2325.0,30
110,1624.36666667,2351.66666667,30
111,1575.48333333,2271.66666667,30
112,1648.73333333,2380.0,30
113,1603.38333333,2331.66666667,30
114,1643.5,2361.66666667,30
115,1604.16666667,2348.33333333,30
116,1672.05,2381.66666667,30
117,1639.4,2378.33333333,30
118,1665.76666667,2398.33333333,30
119,1665.93333333,2390.0,30
120,1645.15,2351.66666667,30
121,1647.36666667,2366.66666667,30
122,1660.98333333,2370.0,30
123,1568.76666667,2316.66666667,30
124,1671.46666667,2450.0,30
125,1661.31666667,2398.33333333,30
126,1668.38333333,2376.66666667,30
127,1662.73333333,2381.66666667,30
128,1624.88333333,2420.0,30
129,1663.26666667,2420.0,30
130,1692.33333333,2420.0,30
131,1701.61666667,2430.0,30
132,1691.08333333,2451.66666667,30
133,1674.6,2400.0,30
134,1709.16666667,2461.66666667,30
135,1725.75,2455.0,30
136,1755.88333333,2460.0,30
137,1765.91666667,2503.33333333,30
138,1723.16666667,2458.33333333,30
139,1744.33333333,2446.66666667,30
140,1739.66666667,2453.33333333,30
141,1786.73333333,2466.66666667,30
142,1719.41666667,2430.0,30
143,1765.13333333,2446.66666667,30
144,1727.85,2445.0,30
145,1742.01666667,2455.0,30
146,1798.35,2478.33333333,30
147,1750.5,2445.0,30
148,1789.95,2480.0,30
149,1776.85,2511.66666667,30
150,1751.45,2451.66666667,30
151,1797.26666667,2478.33333333,30
152,1737.16666667,2436.66666667,30
153,1775.86666667,2451.66666667,30
154,1792.81666667,2468.33333333,30
155,1817.28333333,2485.0,30
156,1758.23333333,2463.33333333,30
