Generation,Average,Best,Samples
116,1539.28333333,2455.0,30
117,1620.75,2530.0,30
118,1666.36666667,2535.0,30
119,1495.88333333,2455.0,30
120,1667.98333333,2563.33333333,30
121,1538.18333333,2491.66666667,30
122,1651.98333333,2560.0,30
123,1658.98333333,2515.0,30
124,1753.36666667,2603.33333333,30
125,1686.1,2555.0,30
126,1773.85,2593.33333333,30
127,1569.5,2498.33333333,30
128,1672.56666667,2510.0,30
129,1671.86666667,2506.66666667,30
130,1672.13333333,2505.0,30
131,1649.48333333,2546.66666667,30
132,1677.13333333,2538.33333333,30
133,1623.81666667,2511.66666667,30
134,1746.35,2551.66666667,30
135,1749.7,2570.0,30
136,1759.58333333,2573.33333333,30
137,1838.66666667,2658.33333333,30
138,1715.81666667,2576.66666667,30
139,1747.48333333,2621.66666667,30
140,1588.26666667,2510.0,30
141,1656.96666667,2503.33333333,30
142,1678.81666667,2551.66666667,30
143,1773.06666667,2610.0,30
144,1780.98333333,2608.33333333,30
145,1777.53333333,2650.0,30
146,1773.5,2635.0,30
147,1667.15,2486.66666667,30
148,1759.28333333,2595.0,30
149,1731.88333333,2513.33333333,30
150,1703.23333333,2540.0,30
151,1881.93333333,2690.0,30
152,1818.23333333,2605.0,30
153,1666.35,2580.0,30
154,1743.33333333,2621.66666667,30
155,1727.08333333,2645.0,30
156,1763.1,2670.0,30
157,1858.41666667,2635.0,30
158,1826.61666667,2646.66666667,30
159,1853.15,2688.33333333,30
160,1763.46666667,2638.33333333,30
161,1803.63333333,2625.0,30
162,1880.08333333,2661.66666667,30
163,1736.05,2603.33333333,30
164,1822.6,2650.0,30
165,1762.76666667,2700.0,30
166,1822.35,2643.33333333,30
167,1850.18333333,2676.66666667,30
168,1843.88333333,2715.0,30
169,1871.73333333,2655.0,30
170,1905.78333333,2683.33333333,30
171,1802.43333333,2595.0,30
172,1872.65,2666.66666667,30
173,1887.73333333,2661.66666667,30
174,1885.51666667,2643.33333333,30
175,1849.31666667,2640.0,30
176,1886.43333333,2666.66666667,30
177,1876.4,2636.66666667,30
178,1891.6,2653.33333333,30
179,1790.78333333,2625.0,30
180,1828.35,2608.33333333,30
181,1874.31666667,2738.33333333,30
182,1922.23333333,2723.33333333,30
183,1901.7,2626.66666667,30
184,1905.18333333,2698.33333333,30
185,1848.73333333,2666.66666667,30
186,1845.91666667,2628.33333333,30
187,1877.86666667,2688.33333333,30
188,1859.6,2678.33333333,30
189,1852.71666667,2636.66666667,30
190,1830.25,2648.33333333,30
191,1793.9,2676.66666667,30
192,1890.15,2683.33333333,30
193,1908.0,2686.66666667,30
194,1872.36666667,2646.66666667,30
195,1969.43333333,2726.66666667,30
196,1987.73333333,2715.0,30
197,1852.08333333,2635.0,30
198,1937.25,2730.0,30
199,1982.48333333,2720.0,30
200,1922.73333333,2693.33333333,30
