Generation,Average,Best,Updates,Samples
303,2152.06666667,2713.33333333,9400,30
304,2121.08333333,2671.66666667,9566,30
305,2163.61666667,2705.0,9500,30
306,2168.85,2715.0,9300,30
307,2158.48333333,2716.66666667,9400,30
308,2166.06666667,2698.33333333,9400,30
309,2165.23333333,2691.66666667,9266,30
310,2161.91666667,2721.66666667,9300,30
311,2174.35,2708.33333333,9400,30
312,2141.88333333,2698.33333333,9233,30
313,2158.83333333,2710.0,9200,30
314,2151.08333333,2706.66666667,9166,30
315,2131.18333333,2708.33333333,9433,30
316,2176.45,2733.33333333,9266,30
317,2168.1,2708.33333333,9266,30
318,2165.5,2716.66666667,9166,30
319,2168.96666667,2713.33333333,9266,30
320,2167.08333333,2730.0,9366,30
321,2138.86666667,2680.0,9200,30
322,2164.15,2695.0,9333,30
323,2152.45,2731.66666667,9366,30
324,2175.16666667,2733.33333333,9400,30
325,2169.3,2728.33333333,9466,30
326,2137.71666667,2695.0,9533,30
327,2173.43333333,2716.66666667,9700,30
328,2179.65,2708.33333333,9433,30
329,2165.11666667,2726.66666667,9533,30
330,2174.5,2726.66666667,9500,30
331,2189.18333333,2725.0,9400,30
332,2169.91666667,2718.33333333,9333,30
333,2194.05,2738.33333333,9266,30
334,2153.41666667,2718.33333333,9433,30
335,2195.3,2735.0,9400,30
336,2190.68333333,2741.66666667,9533,30
337,2209.15,2758.33333333,9633,30
338,2195.43333333,2731.66666667,9633,30
339,2187.51666667,2688.33333333,9633,30
340,2167.73333333,2696.66666667,9500,30
341,2169.98333333,2705.0,9533,30
342,2197.73333333,2758.33333333,9700,30
343,2206.98333333,2733.33333333,9566,30
344,2173.86666667,2698.33333333,9600,30
345,2216.35,2735.0,9800,30
346,2236.88333333,2755.0,9766,30
347,2180.23333333,2736.66666667,9733,30
348,2209.48333333,2728.33333333,9633,30
349,2196.95,2726.66666667,9533,30
350,2180.43333333,2720.0,9566,30
351,2212.25,2735.0,9766,30
352,2201.2,2750.0,9733,30
353,2196.76666667,2735.0,9700,30
354,2220.8,2725.0,9700,30
355,2223.71666667,2756.66666667,9766,30
356,2214.7,2745.0,9766,30
357,2245.28333333,2731.66666667,9433,30
358,2221.7,2765.0,9566,30
359,2223.1,2715.0,9633,30
360,2178.18333333,2718.33333333,9433,30
361,2224.95,2746.66666667,9700,30
362,2203.36666667,2721.66666667,9700,30
363,2183.86666667,2725.0,9700,30
364,2204.23333333,2746.66666667,9566,30
365,2237.48333333,2766.66666667,9500,30
366,2190.05,2728.33333333,9700,30
367,2183.23333333,2715.0,9633,30
368,2214.15,2738.33333333,9666,30
369,2221.7,2730.0,9666,30
370,2220.21666667,2740.0,9700,30
371,2227.83333333,2771.66666667,9600,30
372,2217.35,2733.33333333,9566,30
373,2227.16666667,2735.0,9633,30
374,2250.91666667,2758.33333333,9633,30
375,2227.4,2736.66666667,9633,30
376,2231.56666667,2760.0,9533,30
377,2238.36666667,2753.33333333,9466,30
378,2236.1,2750.0,9566,30
379,2207.85,2760.0,9800,30
380,2187.05,2728.33333333,9600,30
381,2232.05,2761.66666667,9733,30
382,2210.88333333,2726.66666667,9800,30
383,2248.03333333,2771.66666667,9666,30
384,2234.1,2755.0,9666,30
385,2233.18333333,2775.0,9533,30
386,2245.46666667,2766.66666667,9633,30
387,2234.66666667,2766.66666667,9566,30
388,2232.36666667,2761.66666667,9500,30
389,2257.45,2763.33333333,9600,30
390,2218.3,2736.66666667,9833,30
391,2239.08333333,2768.33333333,9966,30
392,2246.98333333,2755.0,9933,30
393,2241.3,2770.0,9900,30
394,2254.73333333,2758.33333333,9866,30
395,2277.48333333,2773.33333333,9766,30
396,2241.5,2751.66666667,9700,30
397,2253.45,2748.33333333,9900,30
398,2227.78333333,2725.0,9866,30
399,2227.08333333,2741.66666667,9866,30
400,2273.53333333,2790.0,9833,30
401,2251.76666667,2763.33333333,9800,30
402,2255.75,2751.66666667,9833,30
403,2255.01666667,2770.0,9833,30
404,2283.91666667,2783.33333333,9800,30
405,2231.63333333,2783.33333333,9900,30
406,2237.0,2768.33333333,9800,30
407,2243.48333333,2751.66666667,9766,30
408,2255.56666667,2775.0,9900,30
409,2245.88333333,2750.0,9800,30
410,2256.11666667,2763.33333333,9833,30
411,2240.61666667,2758.33333333,9833,30
412,2244.93333333,2778.33333333,9700,30
413,2217.45,2738.33333333,9700,30
414,2244.58333333,2765.0,9633,30
415,2234.36666667,2736.66666667,9600,30
416,2243.16666667,2761.66666667,9700,30
417,2238.75,2740.0,9733,30
418,2236.85,2738.33333333,9800,30
419,2249.25,2771.66666667,9600,30
420,2250.9,2773.33333333,9766,30
421,2244.41666667,2738.33333333,9700,30
422,2252.05,2758.33333333,9733,30
423,2262.43333333,2758.33333333,9666,30
424,2266.85,2786.66666667,9733,30
