Generation,Average,Best,Samples
73,362.5,1236.66666667,30
74,298.333333333,1170.0,30
75,347.716666667,1235.0,30
76,298.866666667,1175.0,30
77,326.233333333,1165.0,30
78,300.833333333,1210.0,30
79,329.6,1216.66666667,30
80,359.133333333,1253.33333333,30
81,311.85,1131.66666667,30
82,337.85,1200.0,30
83,329.333333333,1223.33333333,30
84,303.183333333,1218.33333333,30
85,342.05,1240.0,30
86,381.283333333,1315.0,30
87,314.533333333,1230.0,30
88,359.95,1243.33333333,30
89,383.516666667,1403.33333333,30
90,360.116666667,1228.33333333,30
91,448.75,1418.33333333,30
92,324.816666667,1238.33333333,30
93,418.333333333,1351.66666667,30
94,332.6,1141.66666667,30
95,374.0,1265.0,30
96,305.5,1211.66666667,30
97,382.483333333,1350.0,30
98,364.716666667,1318.33333333,30
99,394.416666667,1355.0,30
100,358.516666667,1306.66666667,30
101,367.55,1265.0,30
102,354.266666667,1260.0,30
103,355.05,1273.33333333,30
104,333.616666667,1261.66666667,30
105,363.0,1283.33333333,30
106,366.25,1311.66666667,30
107,395.866666667,1408.33333333,30
108,392.35,1320.0,30
109,367.15,1318.33333333,30
110,382.9,1316.66666667,30
111,341.083333333,1276.66666667,30
112,446.05,1408.33333333,30
113,416.183333333,1340.0,30
114,385.083333333,1338.33333333,30
115,368.283333333,1293.33333333,30
116,379.383333333,1376.66666667,30
117,366.55,1296.66666667,30
118,425.75,1436.66666667,30
119,374.016666667,1321.66666667,30
120,413.683333333,1400.0,30
121,419.533333333,1368.33333333,30
122,434.116666667,1428.33333333,30
123,381.4,1308.33333333,30
124,401.5,1388.33333333,30
125,445.55,1461.66666667,30
126,399.966666667,1368.33333333,30
127,345.083333333,1435.0,30
128,365.566666667,1326.66666667,30
129,415.35,1420.0,30
130,380.516666667,1313.33333333,30
131,414.766666667,1456.66666667,30
132,398.233333333,1385.0,30
133,408.783333333,1388.33333333,30
134,432.45,1428.33333333,30
135,423.083333333,1373.33333333,30
136,397.383333333,1588.33333333,30
137,403.983333333,1558.33333333,30
138,470.3,1466.66666667,30
139,450.033333333,1515.0,30
140,438.266666667,1450.0,30
141,403.55,1405.0,30
142,421.833333333,1425.0,30
143,433.65,1396.66666667,30
144,441.7,1556.66666667,30
145,432.816666667,1398.33333333,30
146,477.583333333,1531.66666667,30
147,373.283333333,1326.66666667,30
148,411.7,1425.0,30
149,447.034482759,1363.79310345,29
150,470.775862069,1468.96551724,29
151,385.0,1365.51724138,29
152,433.396551724,1489.65517241,29
153,390.586206897,1306.89655172,29
154,478.482758621,1513.79310345,29
155,469.74137931,1529.31034483,29
156,482.965517241,1582.75862069,29
157,510.75862069,1537.93103448,29
158,401.293103448,1443.10344828,29
159,455.465517241,1563.79310345,29
160,520.189655172,1586.20689655,29
161,439.913793103,1460.34482759,29
162,510.678571429,1594.64285714,28
163,442.25,1471.42857143,28
164,533.5,1510.71428571,28
165,425.767857143,1464.28571429,28
166,425.5,1478.57142857,28
167,451.25,1423.21428571,28
168,490.553571429,1514.28571429,28
169,519.660714286,1508.92857143,28
170,450.574074074,1451.85185185,27
171,434.611111111,1405.55555556,27
172,405.788461538,1469.23076923,26
173,500.153846154,1640.38461538,26
174,428.230769231,1461.53846154,26
175,463.096153846,1444.23076923,26
176,489.442307692,1636.53846154,26
177,383.057692308,1434.61538462,26
178,535.038461538,1594.23076923,26
179,498.923076923,1540.38461538,26
180,476.326923077,1494.23076923,26
181,498.288461538,1555.76923077,26
182,429.057692308,1448.07692308,26
183,505.788461538,1567.30769231,26
184,501.923076923,1484.61538462,26
185,434.826923077,1492.30769231,26
186,500.615384615,1492.30769231,26
187,470.288461538,1515.38461538,26
188,483.557692308,1507.69230769,26
189,570.32,1610.0,25
190,499.7,1546.0,25
191,444.58,1504.0,25
192,480.92,1574.0,25
193,466.42,1432.0,25
